mode,p,seed,k,n_eval,n_correct,accuracy
1,0.0,0,1,150,150,1.0
1,0.0,0,2,150,150,1.0
1,0.0,0,4,150,150,1.0
1,0.0,0,8,150,150,1.0
1,0.0,1,1,150,150,1.0
1,0.0,1,2,150,150,1.0
1,0.0,1,4,150,150,1.0
1,0.0,1,8,150,150,1.0
1,0.0,2,1,150,150,1.0
1,0.0,2,2,150,150,1.0
1,0.0,2,4,150,150,1.0
1,0.0,2,8,150,150,1.0
1,0.0,3,1,150,150,1.0
1,0.0,3,2,150,150,1.0
1,0.0,3,4,150,150,1.0
1,0.0,3,8,150,150,1.0
1,0.0,4,1,150,150,1.0
1,0.0,4,2,150,150,1.0
1,0.0,4,4,150,150,1.0
1,0.0,4,8,150,150,1.0
1,0.0,5,1,150,150,1.0
1,0.0,5,2,150,150,1.0
1,0.0,5,4,150,150,1.0
1,0.0,5,8,150,150,1.0
1,0.0,6,1,150,150,1.0
1,0.0,6,2,150,150,1.0
1,0.0,6,4,150,150,1.0
1,0.0,6,8,150,150,1.0
1,0.0,7,1,150,150,1.0
1,0.0,7,2,150,150,1.0
1,0.0,7,4,150,150,1.0
1,0.0,7,8,150,150,1.0
1,0.25,0,1,150,51,0.34
1,0.25,0,2,150,58,0.38666666666666666
1,0.25,0,4,150,67,0.44666666666666666
1,0.25,0,8,150,72,0.48
1,0.25,1,1,150,58,0.38666666666666666
1,0.25,1,2,150,60,0.4
1,0.25,1,4,150,74,0.49333333333333335
1,0.25,1,8,150,77,0.5133333333333333
1,0.25,2,1,150,64,0.4266666666666667
1,0.25,2,2,150,65,0.43333333333333335
1,0.25,2,4,150,74,0.49333333333333335
1,0.25,2,8,150,75,0.5
1,0.25,3,1,150,49,0.32666666666666666
1,0.25,3,2,150,48,0.32
1,0.25,3,4,150,64,0.4266666666666667
1,0.25,3,8,150,69,0.46
1,0.25,4,1,150,41,0.2733333333333333
1,0.25,4,2,150,63,0.42
1,0.25,4,4,150,63,0.42
1,0.25,4,8,150,74,0.49333333333333335
1,0.25,5,1,150,61,0.4066666666666667
1,0.25,5,2,150,57,0.38
1,0.25,5,4,150,68,0.4533333333333333
1,0.25,5,8,150,78,0.52
1,0.25,6,1,150,62,0.41333333333333333
1,0.25,6,2,150,56,0.37333333333333335
1,0.25,6,4,150,67,0.44666666666666666
1,0.25,6,8,150,74,0.49333333333333335
1,0.25,7,1,150,65,0.43333333333333335
1,0.25,7,2,150,62,0.41333333333333333
1,0.25,7,4,150,66,0.44
1,0.25,7,8,150,76,0.5066666666666667
1,0.5,0,1,150,52,0.3466666666666667
1,0.5,0,2,150,50,0.3333333333333333
1,0.5,0,4,150,70,0.4666666666666667
1,0.5,0,8,150,68,0.4533333333333333
1,0.5,1,1,150,62,0.41333333333333333
1,0.5,1,2,150,69,0.46
1,0.5,1,4,150,84,0.56
1,0.5,1,8,150,74,0.49333333333333335
1,0.5,2,1,150,58,0.38666666666666666
1,0.5,2,2,150,67,0.44666666666666666
1,0.5,2,4,150,74,0.49333333333333335
1,0.5,2,8,150,72,0.48
1,0.5,3,1,150,67,0.44666666666666666
1,0.5,3,2,150,68,0.4533333333333333
1,0.5,3,4,150,73,0.4866666666666667
1,0.5,3,8,150,73,0.4866666666666667
1,0.5,4,1,150,45,0.3
1,0.5,4,2,150,55,0.36666666666666664
1,0.5,4,4,150,62,0.41333333333333333
1,0.5,4,8,150,76,0.5066666666666667
1,0.5,5,1,150,67,0.44666666666666666
1,0.5,5,2,150,70,0.4666666666666667
1,0.5,5,4,150,74,0.49333333333333335
1,0.5,5,8,150,76,0.5066666666666667
1,0.5,6,1,150,59,0.3933333333333333
1,0.5,6,2,150,65,0.43333333333333335
1,0.5,6,4,150,71,0.47333333333333333
1,0.5,6,8,150,60,0.4
1,0.5,7,1,150,57,0.38
1,0.5,7,2,150,62,0.41333333333333333
1,0.5,7,4,150,70,0.4666666666666667
1,0.5,7,8,150,70,0.4666666666666667
1,0.75,0,1,150,63,0.42
1,0.75,0,2,150,72,0.48
1,0.75,0,4,150,64,0.4266666666666667
1,0.75,0,8,150,69,0.46
1,0.75,1,1,150,55,0.36666666666666664
1,0.75,1,2,150,64,0.4266666666666667
1,0.75,1,4,150,66,0.44
