mode,p,seed,N_mem,method,n_eval,n_correct,accuracy
1,0.0,0,40,recency,200,200,1.0
1,0.0,0,40,point,200,200,1.0
1,0.0,0,40,concat,200,200,1.0
1,0.0,0,40,chemotaxis,200,200,1.0
1,0.0,1,40,recency,200,200,1.0
1,0.0,1,40,point,200,200,1.0
1,0.0,1,40,concat,200,200,1.0
1,0.0,1,40,chemotaxis,200,200,1.0
1,0.0,2,40,recency,200,200,1.0
1,0.0,2,40,point,200,200,1.0
1,0.0,2,40,concat,200,200,1.0
1,0.0,2,40,chemotaxis,200,200,1.0
1,0.0,3,40,recency,200,200,1.0
1,0.0,3,40,point,200,200,1.0
1,0.0,3,40,concat,200,200,1.0
1,0.0,3,40,chemotaxis,200,200,1.0
1,0.0,4,40,recency,200,200,1.0
1,0.0,4,40,point,200,200,1.0
1,0.0,4,40,concat,200,200,1.0
1,0.0,4,40,chemotaxis,200,200,1.0
1,0.0,5,40,recency,200,200,1.0
1,0.0,5,40,point,200,200,1.0
1,0.0,5,40,concat,200,200,1.0
1,0.0,5,40,chemotaxis,200,200,1.0
1,0.0,6,40,recency,200,200,1.0
1,0.0,6,40,point,200,200,1.0
1,0.0,6,40,concat,200,200,1.0
1,0.0,6,40,chemotaxis,200,200,1.0
1,0.0,7,40,recency,200,200,1.0
1,0.0,7,40,point,200,200,1.0
1,0.0,7,40,concat,200,200,1.0
1,0.0,7,40,chemotaxis,200,200,1.0
1,0.0,8,40,recency,200,200,1.0
1,0.0,8,40,point,200,200,1.0
1,0.0,8,40,concat,200,200,1.0
1,0.0,8,40,chemotaxis,200,200,1.0
1,0.0,9,40,recency,200,200,1.0
1,0.0,9,40,point,200,200,1.0
1,0.0,9,40,concat,200,200,1.0
1,0.0,9,40,chemotaxis,200,200,1.0
1,0.15,0,40,recency,200,141,0.705
1,0.15,0,40,point,200,123,0.615
1,0.15,0,40,concat,200,133,0.665
1,0.15,0,40,chemotaxis,200,101,0.505
1,0.15,1,40,recency,200,139,0.695
1,0.15,1,40,point,200,123,0.615
1,0.15,1,40,concat,200,120,0.6
1,0.15,1,40,chemotaxis,200,94,0.47
1,0.15,2,40,recency,200,138,0.69
1,0.15,2,40,point,200,138,0.69
1,0.15,2,40,concat,200,140,0.7
1,0.15,2,40,chemotaxis,200,111,0.555
1,0.15,3,40,recency,200,123,0.615
1,0.15,3,40,point,200,135,0.675
1,0.15,3,40,concat,200,135,0.675
1,0.15,3,40,chemotaxis,200,91,0.455
1,0.15,4,40,recency,200,135,0.675
1,0.15,4,40,point,200,125,0.625
1,0.15,4,40,concat,200,129,0.645
1,0.15,4,40,chemotaxis,200,92,0.46
1,0.15,5,40,recency,200,118,0.59
1,0.15,5,40,point,200,141,0.705
1,0.15,5,40,concat,200,143,0.715
1,0.15,5,40,chemotaxis,200,89,0.445
1,0.15,6,40,recency,200,151,0.755
1,0.15,6,40,point,200,123,0.615
1,0.15,6,40,concat,200,137,0.685
1,0.15,6,40,chemotaxis,200,96,0.48
1,0.15,7,40,recency,200,128,0.64
1,0.15,7,40,point,200,126,0.63
1,0.15,7,40,concat,200,130,0.65
1,0.15,7,40,chemotaxis,200,98,0.49
1,0.15,8,40,recency,200,120,0.6
1,0.15,8,40,point,200,121,0.605
1,0.15,8,40,concat,200,117,0.585
1,0.15,8,40,chemotaxis,200,74,0.37
1,0.15,9,40,recency,200,127,0.635
1,0.15,9,40,point,200,125,0.625
1,0.15,9,40,concat,200,137,0.685
1,0.15,9,40,chemotaxis,200,101,0.505
1,0.3,0,40,recency,200,95,0.475
1,0.3,0,40,point,200,108,0.54
1,0.3,0,40,concat,200,116,0.58
1,0.3,0,40,chemotaxis,200,69,0.345
1,0.3,1,40,recency,200,90,0.45
1,0.3,1,40,point,200,123,0.615
1,0.3,1,40,concat,200,118,0.59
1,0.3,1,40,chemotaxis,200,76,0.38
1,0.3,2,40,recency,200,80,0.4
1,0.3,2,40,point,200,124,0.62
1,0.3,2,40,concat,200,131,0.655
1,0.3,2,40,chemotaxis,200,86,0.43
1,0.3,3,40,recency,200,88,0.44
1,0.3,3,40,point,200,129,0.645
1,0.3,3,40,concat,200,111,0.555
1,0.3,3,40,chemotaxis,200,63,0.315
1,0.3,4,40,recency,200,93,0.465
1,0.3,4,40,point,200,114,0.57
1,0.3,4,40,concat,200,108,0.54
1,0.3,4,40,chemotaxis,200,67,0.335
1,0.3,5,40,recency,200,89,0.445
1,0.3,5,40,point,200,122,0.61
1,0.3,5,40,concat,200,113,0.565
1,0.3,5,40,chemotaxis,200,81,0.405
1,0.3,6,40,recency,200,90,0.45
1,0.3,6,40,point,200,114,0.57
1,0.3,6,40,concat,200,125,0.625
1,0.3,6,40,chemotaxis,200,87,0.435
1,0.3,7,40,recency,200,76,0.38
1,0.3,7,40,point,200,117,0.585
1,0.3,7,40,concat,200,123,0.615
1,0.3,7,40,chemotaxis,200,88,0.44
1,0.3,8,40,recency,200,70,0.35
1,0.3,8,40,point,200,118,0.59
1,0.3,8,40,concat,200,111,0.555
1,0.3,8,40,chemotaxis,200,67,0.335
1,0.3,9,40,recency,200,74,0.37
1,0.3,9,40,point,200,118,0.59
1,0.3,9,40,concat,200,111,0.555
1,0.3,9,40,chemotaxis,200,63,0.315
1,0.5,0,10,recency,200,66,0.33
