mode,p,seed,N_mem,mean_overlap
1,0.0,0,40,0.6089999999999999
1,0.0,1,40,0.6509999999999999
1,0.0,2,40,0.6249999999999999
1,0.0,3,40,0.6289999999999999
1,0.0,4,40,0.637
1,0.15,0,40,0.516
1,0.15,1,40,0.5509999999999999
1,0.15,2,40,0.5609999999999999
1,0.15,3,40,0.5309999999999999
1,0.15,4,40,0.563
1,0.3,0,40,0.532
1,0.3,1,40,0.542
1,0.3,2,40,0.531
1,0.3,3,40,0.5309999999999999
1,0.3,4,40,0.535
1,0.5,0,40,0.577
1,0.5,1,40,0.584
1,0.5,2,40,0.544
1,0.5,3,40,0.576
1,0.5,4,40,0.574
1,0.65,0,40,0.588
1,0.65,1,40,0.588
1,0.65,2,40,0.59
1,0.65,3,40,0.566
1,0.65,4,40,0.583
1,0.8,0,40,0.621
1,0.8,1,40,0.589
1,0.8,2,40,0.612
1,0.8,3,40,0.601
1,0.8,4,40,0.61
1,0.9,0,40,0.6389999999999999
1,0.9,1,40,0.599
1,0.9,2,40,0.629
1,0.9,3,40,0.6309999999999999
1,0.9,4,40,0.632
1,1.0,0,40,0.6569999999999999
1,1.0,1,40,0.6389999999999999
1,1.0,2,40,0.6869999999999998
1,1.0,3,40,0.648
1,1.0,4,40,0.6509999999999999
2,0.0,0,40,0.638
2,0.0,1,40,0.6189999999999999
2,0.0,2,40,0.6219999999999999
2,0.0,3,40,0.66
2,0.0,4,40,0.6569999999999999
2,0.15,0,40,0.491
2,0.15,1,40,0.5559999999999999
2,0.15,2,40,0.522
2,0.15,3,40,0.569
2,0.15,4,40,0.515
2,0.3,0,40,0.53
2,0.3,1,40,0.542
2,0.3,2,40,0.53
2,0.3,3,40,0.555
2,0.3,4,40,0.551
2,0.5,0,40,0.5609999999999999
2,0.5,1,40,0.563
2,0.5,2,40,0.564
2,0.5,3,40,0.581
2,0.5,4,40,0.5660000000000001
2,0.65,0,40,0.571
2,0.65,1,40,0.6039999999999999
2,0.65,2,40,0.596
2,0.65,3,40,0.599
2,0.65,4,40,0.618
2,0.8,0,40,0.616
2,0.8,1,40,0.62
2,0.8,2,40,0.583
2,0.8,3,40,0.618
2,0.8,4,40,0.6359999999999999
2,0.9,0,40,0.6379999999999999
2,0.9,1,40,0.6359999999999999
2,0.9,2,40,0.615
2,0.9,3,40,0.6429999999999998
2,0.9,4,40,0.632
2,1.0,0,40,0.67
2,1.0,1,40,0.6709999999999999
2,1.0,2,40,0.6679999999999999
2,1.0,3,40,0.654
2,1.0,4,40,0.67
