control,mode,p,seed,method,n_eval,n_correct,accuracy
none,2,0.3,0,recency,200,72,0.36
none,2,0.3,0,point,200,86,0.43
none,2,0.3,0,concat,200,99,0.495
none,2,0.3,0,chemotaxis,200,67,0.335
shuffled_r,2,0.3,0,recency,200,85,0.425
shuffled_r,2,0.3,0,point,200,85,0.425
shuffled_r,2,0.3,0,concat,200,83,0.415
shuffled_r,2,0.3,0,chemotaxis,200,51,0.255
shuffled_d,2,0.3,0,recency,200,72,0.36
shuffled_d,2,0.3,0,point,200,86,0.43
shuffled_d,2,0.3,0,concat,200,73,0.365
shuffled_d,2,0.3,0,chemotaxis,200,66,0.33
none,2,0.3,1,recency,200,66,0.33
none,2,0.3,1,point,200,73,0.365
none,2,0.3,1,concat,200,86,0.43
none,2,0.3,1,chemotaxis,200,64,0.32
shuffled_r,2,0.3,1,recency,200,61,0.305
shuffled_r,2,0.3,1,point,200,63,0.315
shuffled_r,2,0.3,1,concat,200,54,0.27
shuffled_r,2,0.3,1,chemotaxis,200,34,0.17
shuffled_d,2,0.3,1,recency,200,66,0.33
shuffled_d,2,0.3,1,point,200,73,0.365
shuffled_d,2,0.3,1,concat,200,54,0.27
shuffled_d,2,0.3,1,chemotaxis,200,65,0.325
none,2,0.3,2,recency,200,62,0.31
none,2,0.3,2,point,200,65,0.325
none,2,0.3,2,concat,200,89,0.445
none,2,0.3,2,chemotaxis,200,47,0.235
shuffled_r,2,0.3,2,recency,200,50,0.25
shuffled_r,2,0.3,2,point,200,45,0.225
shuffled_r,2,0.3,2,concat,200,48,0.24
shuffled_r,2,0.3,2,chemotaxis,200,37,0.185
shuffled_d,2,0.3,2,recency,200,62,0.31
shuffled_d,2,0.3,2,point,200,65,0.325
shuffled_d,2,0.3,2,concat,200,52,0.26
shuffled_d,2,0.3,2,chemotaxis,200,42,0.21
none,2,0.3,3,recency,200,62,0.31
none,2,0.3,3,point,200,81,0.405
none,2,0.3,3,concat,200,101,0.505
none,2,0.3,3,chemotaxis,200,58,0.29
shuffled_r,2,0.3,3,recency,200,64,0.32
shuffled_r,2,0.3,3,point,200,53,0.265
shuffled_r,2,0.3,3,concat,200,57,0.285
shuffled_r,2,0.3,3,chemotaxis,200,47,0.235
shuffled_d,2,0.3,3,recency,200,62,0.31
shuffled_d,2,0.3,3,point,200,81,0.405
shuffled_d,2,0.3,3,concat,200,68,0.34
shuffled_d,2,0.3,3,chemotaxis,200,63,0.315
none,2,0.3,4,recency,200,68,0.34
none,2,0.3,4,point,200,61,0.305
none,2,0.3,4,concat,200,93,0.465
none,2,0.3,4,chemotaxis,200,51,0.255
shuffled_r,2,0.3,4,recency,200,79,0.395
shuffled_r,2,0.3,4,point,200,60,0.3
shuffled_r,2,0.3,4,concat,200,59,0.295
shuffled_r,2,0.3,4,chemotaxis,200,48,0.24
shuffled_d,2,0.3,4,recency,200,68,0.34
shuffled_d,2,0.3,4,point,200,61,0.305
shuffled_d,2,0.3,4,concat,200,56,0.28
