mode,p,method,mean,ci95,n
1,0.0,chemotaxis,1.0,0.0,10
1,0.0,concat,1.0,0.0,10
1,0.0,point,1.0,0.0,10
1,0.0,recency,1.0,0.0,10
1,0.15,chemotaxis,0.47350000000000003,0.029941276600112508,10
1,0.15,concat,0.6605000000000001,0.02586449217664162,10
1,0.15,point,0.64,0.022251731518143823,10
1,0.15,recency,0.6599999999999999,0.032633983650312885,10
1,0.3,chemotaxis,0.3735,0.031368505790929146,10
1,0.3,concat,0.5835,0.023147278217727642,10
1,0.3,point,0.5934999999999999,0.018654354272751802,10
1,0.3,recency,0.4225,0.027105460704441087,10
1,0.5,chemotaxis,0.384,0.022480743364538067,10
1,0.5,concat,0.5255,0.018214413096348865,10
1,0.5,point,0.5875,0.027262481341376262,10
1,0.5,recency,0.27949999999999997,0.03212148398398389,10
1,0.65,chemotaxis,0.4185,0.026053586658611474,10
1,0.65,concat,0.4795,0.026636857505677687,10
1,0.65,point,0.588,0.029225258481890858,10
1,0.65,recency,0.22549999999999998,0.02371204007344042,10
1,0.8,chemotaxis,0.4405,0.02362186275466014,10
1,0.8,concat,0.46699999999999997,0.027064091831551746,10
1,0.8,point,0.5805,0.022840985579046756,10
1,0.8,recency,0.175,0.016528171237146727,10
1,0.9,chemotaxis,0.495,0.0231910327497505,10
1,0.9,concat,0.47450000000000003,0.014495315718458076,10
1,0.9,point,0.601,0.01875419479002557,10
1,0.9,recency,0.147,0.016280982771319428,10
1,1.0,chemotaxis,0.5335,0.02055924879734449,10
1,1.0,concat,0.48949999999999994,0.02393599706625057,10
1,1.0,point,0.614,0.04108214859684596,10
1,1.0,recency,0.12150000000000001,0.012988851630019749,10
2,0.0,chemotaxis,1.0,0.0,10
2,0.0,concat,1.0,0.0,10
2,0.0,point,1.0,0.0,10
2,0.0,recency,1.0,0.0,10
2,0.15,chemotaxis,0.388,0.0325422965794774,10
2,0.15,concat,0.6035,0.03224085813580856,10
2,0.15,point,0.5,0.029544828462674963,10
2,0.15,recency,0.557,0.0333839908405877,10
2,0.3,chemotaxis,0.28500000000000003,0.02332866619990665,10
2,0.3,concat,0.4665,0.019873042601026705,10
2,0.3,point,0.354,0.026730836126092276,10
2,0.3,recency,0.3505,0.02800392750232645,10
2,0.5,chemotaxis,0.225,0.024835261670097662,10
2,0.5,concat,0.33799999999999997,0.019773454708550832,10
2,0.5,point,0.24300000000000002,0.013001169178193167,10
2,0.5,recency,0.22200000000000003,0.02046300075746468,10
2,0.65,chemotaxis,0.213,0.014103528321349632,10
2,0.65,concat,0.257,0.016215306897428047,10
2,0.65,point,0.1945,0.011818834309882018,10
2,0.65,recency,0.1875,0.021433416277703683,10
2,0.8,chemotaxis,0.186,0.013766587570394246,10
2,0.8,concat,0.1945,0.015491716783135717,10
2,0.8,point,0.174,0.014739871852299873,10
2,0.8,recency,0.1695,0.013103365131819297,10
2,0.9,chemotaxis,0.188,0.01395138224932091,10
2,0.9,concat,0.1905,0.013103365131819297,10
2,0.9,point,0.184,0.011850393336181805,10
2,0.9,recency,0.1665,0.019548209352492848,10
2,1.0,chemotaxis,0.172,0.008417611168127082,10
2,1.0,concat,0.176,0.009216400840048376,10
2,1.0,point,0.1715,0.01213952406169387,10
2,1.0,recency,0.16,0.017161662701109897,10
