mode,N_mem,method,mean,ci95,n
1,10,chemotaxis,0.27549999999999997,0.025864492176641614,10
1,10,concat,0.38,0.021018658377736667,10
1,10,point,0.4245,0.02198396284163122,10
1,10,recency,0.279,0.0323317497894012,10
1,20,chemotaxis,0.319,0.033878971517906364,10
1,20,concat,0.433,0.03293344399441597,10
1,20,point,0.5075000000000001,0.020361057601869965,10
1,20,recency,0.27799999999999997,0.031745546669309906,10
1,40,chemotaxis,0.384,0.022480743364538067,10
1,40,concat,0.5255,0.018214413096348865,10
1,40,point,0.5875,0.027262481341376262,10
1,40,recency,0.27949999999999997,0.03212148398398389,10
1,80,chemotaxis,0.4465,0.021720262940908938,10
1,80,concat,0.598,0.013325437662189143,10
1,80,point,0.665,0.018822350780093554,10
1,80,recency,0.27799999999999997,0.03204664933083228,10
2,10,chemotaxis,0.213,0.014912610621737415,10
2,10,concat,0.27349999999999997,0.01777559000427271,10
2,10,point,0.24900000000000003,0.019643507267740605,10
2,10,recency,0.23700000000000002,0.016215306897428047,10
2,20,chemotaxis,0.197,0.015949899337892034,10
2,20,concat,0.29,0.02364669579924904,10
2,20,point,0.23650000000000002,0.018539592468252614,10
2,20,recency,0.22149999999999997,0.017411670415748936,10
2,40,chemotaxis,0.225,0.024835261670097662,10
2,40,concat,0.33799999999999997,0.019773454708550832,10
2,40,point,0.24300000000000002,0.013001169178193167,10
2,40,recency,0.22200000000000003,0.02046300075746468,10
2,80,chemotaxis,0.23850000000000002,0.018711471229049724,10
2,80,concat,0.379,0.020701493236533017,10
2,80,point,0.259,0.019751856171565805,10
2,80,recency,0.22549999999999998,0.020990716466518664,10
