mode,p,k,accuracy
1,0.0,1,1.0
1,0.0,2,1.0
1,0.0,4,1.0
1,0.0,8,1.0
1,0.25,1,0.3758333333333333
1,0.25,2,0.3908333333333333
1,0.25,4,0.45249999999999996
1,0.25,8,0.49583333333333335
1,0.5,1,0.38916666666666666
1,0.5,2,0.42166666666666663
1,0.5,4,0.48166666666666663
1,0.5,8,0.4741666666666667
1,0.75,1,0.41333333333333333
1,0.75,2,0.43916666666666665
1,0.75,4,0.4525
1,0.75,8,0.4675
1,1.0,1,0.5191666666666667
1,1.0,2,0.4583333333333333
1,1.0,4,0.4408333333333333
1,1.0,8,0.47
2,0.0,1,1.0
2,0.0,2,1.0
2,0.0,4,1.0
2,0.0,8,1.0
2,0.25,1,0.32916666666666666
2,0.25,2,0.30666666666666664
2,0.25,4,0.3225
2,0.25,8,0.3616666666666666
2,0.5,1,0.20666666666666664
2,0.5,2,0.1983333333333333
2,0.5,4,0.24416666666666664
2,0.5,8,0.235
2,0.75,1,0.16999999999999998
2,0.75,2,0.15249999999999997
2,0.75,4,0.15666666666666665
2,0.75,8,0.17916666666666664
2,1.0,1,0.17916666666666664
2,1.0,2,0.1733333333333333
2,1.0,4,0.17083333333333328
2,1.0,8,0.17166666666666666
