control,method,mean,ci95,n
none,chemotaxis,0.22433333333333336,0.01822077564578686,30
none,concat,0.3065,0.0436759226655792,30
none,point,0.2485,0.029094841585692675,30
none,recency,0.233,0.032869695507543435,30
shuffled_d,chemotaxis,0.22416666666666665,0.020357442838608266,30
shuffled_d,concat,0.22666666666666666,0.022437817693243906,30
shuffled_d,point,0.2485,0.029094841585692675,30
shuffled_d,recency,0.233,0.032869695507543435,30
shuffled_r,chemotaxis,0.19616666666666666,0.015722769734452174,30
shuffled_r,concat,0.23933333333333331,0.030385026156964007,30
shuffled_r,point,0.22766666666666666,0.027007472330557405,30
shuffled_r,recency,0.246,0.032551793424823984,30
