N_mem,method,mean,ci95,n
100,chemotaxis,0.04640396726092757,0.005164598803387622,5931
100,concat,0.05539634059320985,0.005612851939372263,5931
100,point,0.09120588234277237,0.007144755526495184,5931
100,recency,0.0018968133535660092,0.0010407263345037685,5931
20,chemotaxis,0.013529122925337285,0.0028665883343610542,5931
20,concat,0.012332984290096341,0.0027450402044933964,5931
20,point,0.015080220784637364,0.003042567043383705,5931
20,recency,0.0018968133535660092,0.0010407263345037685,5931
50,chemotaxis,0.03162560971641716,0.0043243695018759755,5931
50,concat,0.035773825898416586,0.004611038390977245,5931
50,point,0.05408348318259667,0.0056269388252509185,5931
50,recency,0.0018968133535660092,0.0010407263345037685,5931
all,chemotaxis,0.12347536791596263,0.008008273337420668,5931
all,concat,0.15301057305525095,0.008760808518835742,5931
all,point,0.33348127447616777,0.011526585917616813,5931
all,recency,0.0018968133535660092,0.0010407263345037685,5931
