mode,p,mean,ci95,n
1,0.0,0.6302,0.013556627309179838,5
1,0.15,0.5443999999999999,0.01780905657242964,5
1,0.3,0.5342,0.004083202664575953,5
1,0.5,0.571,0.01363574127064602,5
1,0.65,0.583,0.008632904493853741,5
1,0.8,0.6066,0.010638305128167748,5
1,0.9,0.626,0.013635741270646033,5
1,1.0,0.6563999999999999,0.016038501675655327,5
2,0.0,0.6392,0.01671639865521283,5
2,0.15,0.5306,0.027736597051549034,5
2,0.3,0.5416000000000001,0.01015802027956236,5
2,0.5,0.567,0.007039647718458646,5
2,0.65,0.5975999999999999,0.014985991325234382,5
2,0.8,0.6146,0.016969570884380062,5
2,0.9,0.6327999999999999,0.009387561131625132,5
2,1.0,0.6666000000000001,0.006247451960599603,5
