alpha,method,mean,ci95
0.0,chemotaxis,0.013043478260869565,0.004314862075742953
0.0,concat,0.10350596760443308,0.011796773686738534
0.0,point,0.06334185848252344,0.009266589217097745
0.0,recency,0.11934143222506394,0.012012549957322753
0.5,chemotaxis,0.2617860187553282,0.019322852589051635
0.5,concat,0.16367220801364024,0.015159443527919906
0.5,point,0.06908567774936061,0.009974137695100301
0.5,recency,0.11934143222506394,0.012012549957322753
1.0,chemotaxis,0.3710997442455243,0.021204722866455722
1.0,concat,0.29586530264279626,0.019184412184348305
1.0,point,0.07167519181585677,0.010121648514375418
1.0,recency,0.11934143222506394,0.012012549957322753
2.0,chemotaxis,0.40466751918158567,0.021853162550853823
2.0,concat,0.43010443307757884,0.020401341242102477
2.0,point,0.0736999147485081,0.010395112593623534
2.0,recency,0.11934143222506394,0.012012549957322753
4.0,chemotaxis,0.41354433077578856,0.02203718959099321
4.0,concat,0.514919011082694,0.020277961555303443
4.0,point,0.07519181585677749,0.01045685551968962
4.0,recency,0.11934143222506394,0.012012549957322753
8.0,chemotaxis,0.41603793691389596,0.02213595930504164
8.0,concat,0.5481031543052004,0.02014377856919092
8.0,point,0.07457374254049445,0.010390964748461915
8.0,recency,0.11934143222506394,0.012012549957322753
