mode,p,method,tier1,tier2
1,0.0,chemotaxis,1.0,0.36111111111111116
1,0.0,concat,1.0,0.3333333333333333
1,0.0,point,1.0,0.16666666666666666
1,0.0,recency,1.0,0.36111111111111116
1,0.5,chemotaxis,0.384,0.3611111111111111
1,0.5,concat,0.5255,0.3333333333333333
1,0.5,point,0.5875,0.27777777777777773
1,0.5,recency,0.27949999999999997,0.27777777777777773
1,1.0,chemotaxis,0.5335,0.4166666666666667
1,1.0,concat,0.48949999999999994,0.38888888888888884
1,1.0,point,0.614,0.3333333333333333
1,1.0,recency,0.12150000000000001,0.36111111111111116
2,0.0,chemotaxis,1.0,0.027777777777777766
2,0.0,concat,1.0,0.0833333333333333
2,0.0,point,1.0,0.0
2,0.0,recency,1.0,0.027777777777777766
2,0.5,chemotaxis,0.225,0.2222222222222222
2,0.5,concat,0.33799999999999997,0.13888888888888887
2,0.5,point,0.24300000000000002,0.0
2,0.5,recency,0.22200000000000003,0.16666666666666666
2,1.0,chemotaxis,0.172,0.19444444444444442
2,1.0,concat,0.176,0.13888888888888887
2,1.0,point,0.1715,0.19444444444444442
2,1.0,recency,0.16,0.22222222222222218
