mode,p,method,mean,ci95,n
1,0.0,chemotaxis,0.36111111111111116,0.3570160974342201,3
1,0.0,concat,0.3333333333333333,0.3400054465794684,3
1,0.0,point,0.16666666666666666,0.3266666666666667,3
1,0.0,recency,0.36111111111111116,0.3570160974342201,3
1,0.25,chemotaxis,0.5277777777777778,0.19630223610859499,3
1,0.25,concat,0.38888888888888884,0.10888888888888891,3
1,0.25,point,0.4166666666666667,0.24949578783648474,3
1,0.25,recency,0.4166666666666667,0.16333333333333336,3
1,0.5,chemotaxis,0.3611111111111111,0.05444444444444447,3
1,0.5,concat,0.3333333333333333,0.24949578783648468,3
1,0.5,point,0.27777777777777773,0.19630223610859499,3
1,0.5,recency,0.27777777777777773,0.1440464602690722,3
1,0.75,chemotaxis,0.3055555555555556,0.10888888888888891,3
1,0.75,concat,0.25,0.1886010879352778,3
1,0.75,point,0.25,0.09430054396763891,3
1,0.75,recency,0.27777777777777773,0.19630223610859499,3
1,1.0,chemotaxis,0.4166666666666667,0.0943005439676389,3
1,1.0,concat,0.38888888888888884,0.21777777777777782,3
1,1.0,point,0.3333333333333333,0.0943005439676389,3
1,1.0,recency,0.36111111111111116,0.21777777777777782,3
2,0.0,chemotaxis,0.027777777777777766,0.05444444444444442,3
2,0.0,concat,0.0833333333333333,0.09430054396763884,3
2,0.0,point,0.0,0.0,3
2,0.0,recency,0.027777777777777766,0.05444444444444442,3
2,0.25,chemotaxis,0.4166666666666667,0.0943005439676389,3
2,0.25,concat,0.3333333333333333,0.16333333333333333,3
2,0.25,point,0.24999999999999997,0.1633333333333334,3
2,0.25,recency,0.3333333333333333,0.2494957878364847,3
2,0.5,chemotaxis,0.2222222222222222,0.05444444444444448,3
2,0.5,concat,0.13888888888888887,0.10888888888888891,3
2,0.5,point,0.0,0.0,3
2,0.5,recency,0.16666666666666666,0.18860108793527774,3
2,0.75,chemotaxis,0.22222222222222218,0.10888888888888891,3
2,0.75,concat,0.2222222222222222,0.05444444444444448,3
2,0.75,point,0.27777777777777773,0.10888888888888891,3
2,0.75,recency,0.16666666666666666,0.09430054396763891,3
2,1.0,chemotaxis,0.19444444444444442,0.14404646026907217,3
2,1.0,concat,0.13888888888888887,0.14404646026907217,3
2,1.0,point,0.19444444444444442,0.05444444444444448,3
2,1.0,recency,0.22222222222222218,0.10888888888888891,3
