mode,p,seed,N_mem,method,n_eval,n_correct,accuracy
1,0.0,0,40,recency,12,7,0.5833333333333334
1,0.0,0,40,point,12,6,0.5
1,0.0,0,40,concat,12,7,0.5833333333333334
1,0.0,0,40,chemotaxis,12,6,0.5
1,0.0,1,40,recency,12,0,0.0
1,0.0,1,40,point,12,0,0.0
1,0.0,1,40,concat,12,0,0.0
1,0.0,1,40,chemotaxis,12,0,0.0
1,0.0,2,40,recency,12,6,0.5
1,0.0,2,40,point,12,0,0.0
1,0.0,2,40,concat,12,5,0.4166666666666667
1,0.0,2,40,chemotaxis,12,7,0.5833333333333334
1,0.25,0,40,recency,12,4,0.3333333333333333
1,0.25,0,40,point,12,7,0.5833333333333334
1,0.25,0,40,concat,12,6,0.5
1,0.25,0,40,chemotaxis,12,7,0.5833333333333334
1,0.25,1,40,recency,12,4,0.3333333333333333
1,0.25,1,40,point,12,2,0.16666666666666666
1,0.25,1,40,concat,12,4,0.3333333333333333
1,0.25,1,40,chemotaxis,12,4,0.3333333333333333
1,0.25,2,40,recency,12,7,0.5833333333333334
1,0.25,2,40,point,12,6,0.5
1,0.25,2,40,concat,12,4,0.3333333333333333
1,0.25,2,40,chemotaxis,12,8,0.6666666666666666
1,0.5,0,40,recency,12,2,0.16666666666666666
1,0.5,0,40,point,12,4,0.3333333333333333
1,0.5,0,40,concat,12,6,0.5
1,0.5,0,40,chemotaxis,12,5,0.4166666666666667
1,0.5,1,40,recency,12,3,0.25
1,0.5,1,40,point,12,1,0.08333333333333333
1,0.5,1,40,concat,12,1,0.08333333333333333
1,0.5,1,40,chemotaxis,12,4,0.3333333333333333
1,0.5,2,40,recency,12,5,0.4166666666666667
1,0.5,2,40,point,12,5,0.4166666666666667
1,0.5,2,40,concat,12,5,0.4166666666666667
1,0.5,2,40,chemotaxis,12,4,0.3333333333333333
1,0.75,0,40,recency,12,4,0.3333333333333333
1,0.75,0,40,point,12,2,0.16666666666666666
1,0.75,0,40,concat,12,3,0.25
1,0.75,0,40,chemotaxis,12,3,0.25
1,0.75,1,40,recency,12,1,0.08333333333333333
1,0.75,1,40,point,12,3,0.25
1,0.75,1,40,concat,12,1,0.08333333333333333
1,0.75,1,40,chemotaxis,12,3,0.25
1,0.75,2,40,recency,12,5,0.4166666666666667
1,0.75,2,40,point,12,4,0.3333333333333333
1,0.75,2,40,concat,12,5,0.4166666666666667
1,0.75,2,40,chemotaxis,12,5,0.4166666666666667
1,1.0,0,40,recency,12,3,0.25
1,1.0,0,40,point,12,4,0.3333333333333333
1,1.0,0,40,concat,12,2,0.16666666666666666
1,1.0,0,40,chemotaxis,12,4,0.3333333333333333
1,1.0,1,40,recency,12,3,0.25
1,1.0,1,40,point,12,3,0.25
1,1.0,1,40,concat,12,6,0.5
1,1.0,1,40,chemotaxis,12,5,0.4166666666666667
1,1.0,2,40,recency,12,7,0.5833333333333334
1,1.0,2,40,point,12,5,0.4166666666666667
1,1.0,2,40,concat,12,6,0.5
1,1.0,2,40,chemotaxis,12,6,0.5
2,0.0,0,40,recency,12,1,0.08333333333333333
2,0.0,0,40,point,12,0,0.0
2,0.0,0,40,concat,12,2,0.16666666666666666
2,0.0,0,40,chemotaxis,12,1,0.08333333333333333
2,0.0,1,40,recency,12,0,0.0
2,0.0,1,40,point,12,0,0.0
2,0.0,1,40,concat,12,0,0.0
2,0.0,1,40,chemotaxis,12,0,0.0
2,0.0,2,40,recency,12,0,0.0
2,0.0,2,40,point,12,0,0.0
2,0.0,2,40,concat,12,1,0.08333333333333333
2,0.0,2,40,chemotaxis,12,0,0.0
2,0.25,0,40,recency,12,7,0.5833333333333334
2,0.25,0,40,point,12,5,0.4166666666666667
2,0.25,0,40,concat,12,6,0.5
2,0.25,0,40,chemotaxis,12,6,0.5
2,0.25,1,40,recency,12,2,0.16666666666666666
2,0.25,1,40,point,12,2,0.16666666666666666
2,0.25,1,40,concat,12,3,0.25
2,0.25,1,40,chemotaxis,12,5,0.4166666666666667
2,0.25,2,40,recency,12,3,0.25
2,0.25,2,40,point,12,2,0.16666666666666666
2,0.25,2,40,concat,12,3,0.25
2,0.25,2,40,chemotaxis,12,4,0.3333333333333333
2,0.5,0,40,recency,12,2,0.16666666666666666
2,0.5,0,40,point,12,0,0.0
2,0.5,0,40,concat,12,1,0.08333333333333333
2,0.5,0,40,chemotaxis,12,3,0.25
2,0.5,1,40,recency,12,4,0.3333333333333333
2,0.5,1,40,point,12,0,0.0
2,0.5,1,40,concat,12,3,0.25
2,0.5,1,40,chemotaxis,12,3,0.25
2,0.5,2,40,recency,12,0,0.0
2,0.5,2,40,point,12,0,0.0
2,0.5,2,40,concat,12,1,0.08333333333333333
2,0.5,2,40,chemotaxis,12,2,0.16666666666666666
2,0.75,0,40,recency,12,2,0.16666666666666666
2,0.75,0,40,point,12,4,0.3333333333333333
2,0.75,0,40,concat,12,3,0.25
2,0.75,0,40,chemotaxis,12,4,0.3333333333333333
2,0.75,1,40,recency,12,3,0.25
2,0.75,1,40,point,12,4,0.3333333333333333
2,0.75,1,40,concat,12,2,0.16666666666666666
2,0.75,1,40,chemotaxis,12,2,0.16666666666666666
2,0.75,2,40,recency,12,1,0.08333333333333333
2,0.75,2,40,point,12,2,0.16666666666666666
2,0.75,2,40,concat,12,3,0.25
2,0.75,2,40,chemotaxis,12,2,0.16666666666666666
2,1.0,0,40,recency,12,2,0.16666666666666666
2,1.0,0,40,point,12,3,0.25
2,1.0,0,40,concat,12,3,0.25
2,1.0,0,40,chemotaxis,12,4,0.3333333333333333
2,1.0,1,40,recency,12,2,0.16666666666666666
2,1.0,1,40,point,12,2,0.16666666666666666
2,1.0,1,40,concat,12,0,0.0
2,1.0,1,40,chemotaxis,12,2,0.16666666666666666
2,1.0,2,40,recency,12,4,0.3333333333333333
2,1.0,2,40,point,12,2,0.16666666666666666
2,1.0,2,40,concat,12,2,0.16666666666666666
2,1.0,2,40,chemotaxis,12,1,0.08333333333333333
